Bytes,ExecTime
1024,942703971
1024,942799941
1024,943099344
1024,943281914
1024,943557876
1024,943823082
1024,944019587
1024,944190608
1024,944410121
1024,944973929
1024,944986319
1024,945026282
1024,945041296
1024,945052364
1024,945063137
1024,945354614
1024,945628742
1024,945889064
1024,946188144
1024,946462094
1024,946730727
1024,946982668
1024,947254054
1024,947534937
1024,947756934
1024,948037337
1024,948305137
1024,948594029
1024,948825952
1024,949065634
1024,949319607
1024,949585455
1024,949838809
1024,951593036
1024,951610393
1024,951624874
1024,951634252
1024,951645719
1024,951654114
1024,951665027
1024,951674054
1024,951693967
1024,951703883
1024,952620101
1024,952638280
1024,952650901
1024,952672470
1024,952680294
1024,952729042
1024,952735742
1024,952809599
1024,952822333
1024,952831603
1024,953113814
1024,953124894
1024,953152784
1024,953191809
1024,953308100
1024,953318381
1024,953336690
1024,953454958
1024,953474770
1024,953486245
1024,953498957
1024,953507113
1024,953512804
1024,953519388
1024,953631664
1024,953641110
1024,953651380
1024,953735657
1024,953748657
1024,953761960
1024,953789606
1024,953809238
1024,953823998
1024,953918746
1024,953931311
1024,953940678
1024,954027482
1024,954036600
1024,954059409
1024,954130237
1024,954140349
1024,954183440
1024,954191810
1024,954246080
1024,954253255
1024,954263599
1024,954337716
1024,954347864
1024,954359059
1024,954367920
1024,954375092
1024,954480072
1024,954491788
1024,954570249
1024,954577948
1024,954612044
1024,954621524
1024,954745161
1024,954764552
1024,954775471
1024,954791511
1024,954865384
1024,954876347
1024,954915211
1024,954925024
1024,955536018
1024,955559785
1024,955574505
1024,955584489
1024,955593288
1024,955623799
1024,955634024
1024,955645876
1024,955654871
1024,955666634
1024,956247171
1024,956260058
1024,956269706
1024,956280883
1024,956287974
1024,956295793
1024,956304878
1024,956316556
1024,956361024
1024,956371423
1024,956775903
1024,956787993
1024,956837311
1024,956849854
1024,956866268
1024,956905361
1024,956925434
1024,956949510
1024,957043827
1024,957070132
1024,957184910
1024,957199573
1024,957214092
1024,957225422
1024,957261389
1024,957480000
1024,957681747
1024,957839249
1024,957849781
1024,958037935
1024,958263353
1024,958273144
1024,958496110
1024,958548336
1024,958563855
1024,958881461
1024,958893388
1024,959051273
1024,959206061
1024,959375400
1024,959478801
1024,959735473
1024,959745374
1024,959881251
1024,960186560
1024,960194020
1024,960203322
1024,960235670
1024,960965478
1024,960975409
1024,961114793
1024,961273659
1024,961294757
1024,961303359
1024,961314946
1024,961323909
1024,961341653
1024,961352471
1024,961388477
1024,961403899
1024,961428762
1024,961531091
1024,961588737
